Date,Open,High,Low,Close,Volume
2019-01-02,99.550003,101.75,98.940002,101.120003,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,42579100
2019-01-04,99.720001,102.510002,98.93,101.93,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,32280800
2019-01-10,103.220001,103.75,102.379997,103.599998,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,29853900
2019-01-17,105.0,106.629997,104.760002,106.120003,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,37427600
2019-01-22,106.75,107.099998,104.860001,105.68,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,25874300
2019-01-24,106.860001,107.0,105.339996,106.199997,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,49471900
2019-01-31,103.800003,105.220001,103.18,104.43,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,27325400
2019-02-06,107.0,107.0,105.529999,106.029999,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,21461100
2019-02-11,106.199997,106.580002,104.970001,105.25,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,25056600
2019-02-13,107.5,107.779999,106.709999,106.809998,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,29063200
2019-02-22,110.050003,111.199997,109.82,110.970001,27763200
2019-02-25,111.760002,112.18,111.260002,111.589996,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,23501200
2019-03-04,113.019997,113.25,110.800003,112.260002,26608000
2019-03-05,112.25,112.389999,111.230003,111.699997,19538300
2019-03-06,111.870003,112.660004,111.43,111.75,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,26491600
2019-03-12,112.82,113.989998,112.650002,113.620003,26132700
2019-03-13,114.129997,115.0,113.779999,114.5,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,30763400
2019-03-15,115.339996,117.25,114.589996,115.910004,54681100
2019-03-18,116.169998,117.610001,116.050003,117.57,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,37588700
2019-03-20,117.389999,118.75,116.709999,117.519997,28113300
2019-03-21,117.139999,120.82,117.089996,120.220001,29854400
2019-03-22,119.5,119.589996,117.040001,117.050003,33624500
2019-03-25,116.559998,118.010002,116.32,117.660004,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,22733400
2019-03-28,117.440002,117.580002,116.129997,116.93,18334800
2019-03-29,118.07,118.32,116.959999,117.940002,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,22789100
2019-04-02,119.059998,119.480003,118.519997,119.190002,18142300
2019-04-03,119.860001,120.43,119.150002,119.970001,22860700
2019-04-04,120.099998,120.230003,118.379997,119.360001,20112800
2019-04-05,119.389999,120.230003,119.370003,119.889999,15826200
2019-04-08,119.809998,120.019997,118.639999,119.93,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,19745100
2019-04-15,120.940002,121.580002,120.57,121.050003,15792600
2019-04-16,121.639999,121.650002,120.099998,120.769997,14071800
